"Study Name","Respondent Name","Gender","Age","Group","Type","Label","Start (ms)","Duration (ms)","Parent Stimulus","Count Frames","Anger Threshold","Anger Frames >= Threshold","Anger Time Percentage","Sadness Threshold","Sadness Frames >= Threshold","Sadness Time Percentage","Disgust Threshold","Disgust Frames >= Threshold","Disgust Time Percentage","Joy Threshold","Joy Frames >= Threshold","Joy Time Percentage","Surprise Threshold","Surprise Frames >= Threshold","Surprise Time Percentage","Fear Threshold","Fear Frames >= Threshold","Fear Time Percentage","Contempt Threshold","Contempt Frames >= Threshold","Contempt Time Percentage","Engagement Threshold","Engagement Frames >= Threshold","Engagement Time Percentage","Attention Threshold","Attention Frames >= Threshold","Attention Time Percentage","Positive Threshold","Positive Frames >= Threshold","Positive Time Percentage","Negative Threshold","Negative Frames <= Threshold","Negative Time Percentage","Neutral Threshold","Neutral Frames Between Threshold","Neutral Time Percentage","Brow Furrow Threshold","Brow Furrow Frames >= Threshold","Brow Furrow Time Percentage","Brow Raise Threshold","Brow Raise Frames >= Threshold","Brow Raise Time Percentage","Lip Corner Depressor Threshold","Lip Corner Depressor Frames >= Threshold","Lip Corner Depressor Time Percentage","Smile Threshold","Smile Frames >= Threshold","Smile Time Percentage","Inner Brow Raise Threshold","Inner Brow Raise Frames >= Threshold","Inner Brow Raise Time Percentage","Eye Closure Threshold","Eye Closure Frames >= Threshold","Eye Closure Time Percentage","Nose Wrinkle Threshold","Nose Wrinkle Frames >= Threshold","Nose Wrinkle Time Percentage","Upper Lip Raise Threshold","Upper Lip Raise Frames >= Threshold","Upper Lip Raise Time Percentage","Lip Suck Threshold","Lip Suck Frames >= Threshold","Lip Suck Time Percentage","Lip Press Threshold","Lip Press Frames >= Threshold","Lip Press Time Percentage","Mouth Open Threshold","Mouth Open Frames >= Threshold","Mouth Open Time Percentage","Chin Raise Threshold","Chin Raise Frames >= Threshold","Chin Raise Time Percentage","Smirk Threshold","Smirk Frames >= Threshold","Smirk Time Percentage","Lip Pucker Threshold","Lip Pucker Frames >= Threshold","Lip Pucker Time Percentage","Cheek Raise Threshold","Cheek Raise Frames >= Threshold","Cheek Raise Time Percentage","Dimpler Threshold","Dimpler Frames >= Threshold","Dimpler Time Percentage","Eye Widen Threshold","Eye Widen Frames >= Threshold","Eye Widen Time Percentage","Lid Tighten Threshold","Lid Tighten Frames >= Threshold","Lid Tighten Time Percentage","Lip Stretch Threshold","Lip Stretch Frames >= Threshold","Lip Stretch Time Percentage","Jaw Drop Threshold","Jaw Drop Frames >= Threshold","Jaw Drop Time Percentage"
"Hoteles Grupo 2","RESPONDENT4","Female","24","Default","Scene","Mapping Hoteles Buscador",378961,14246,"HotelesPage",428,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",262,61.21,"50",0,0,"-50",0,0,"-50|50",262,61.21,"50",33,7.71,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0
"Hoteles Grupo 2","RESPONDENT4","Female","24","Default","Scene","Mapping Reserva",448241,15596,"HotelesPage",469,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",293,62.47,"50",0,0,"-50",0,0,"-50|50",293,62.47,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0
"Hoteles Grupo 2","RESPONDENT4","Female","24","Default","Stimulus","AgodaPage",541371,107953,"",3243,"50",0,0,"50",0,0,"50",0,0,"50",67,2.07,"50",0,0,"50",0,0,"50",0,0,"50",119,3.67,"50",2026,62.47,"50",63,1.94,"-50",0,0,"-50|50",1963,60.53,"50",2,0.06,"50",0,0,"50",0,0,"50",104,3.21,"50",0,0,"50",2,0.06,"50",0,0,"50",0,0,"50",70,2.16,"50",53,1.63,"50",0,0,"50",2,0.06,"50",0,0,"50",21,0.65,"50",0,0,"50",0,0,"50",0,0,"50",8,0.25,"50",32,0.99,"50",0,0
"Hoteles Grupo 2","RESPONDENT4","Male","25","Default","Stimulus","AgodaPage",153754,108361,"",3254,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",2119,65.12,"50",0,0,"-50",0,0,"-50|50",2119,65.12,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",6,0.18,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",1,0.03,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0
"Hoteles Grupo 2","RESPONDENT4","Female","24","Default","Stimulus","VrboPage2",707741,269325,"",8090,"50",5,0.06,"50",0,0,"50",53,0.66,"50",696,8.6,"50",19,0.23,"50",0,0,"50",0,0,"50",1382,17.08,"50",5050,62.42,"50",647,8,"-50",20,0.25,"-50|50",4383,54.18,"50",161,1.99,"50",38,0.47,"50",0,0,"50",790,9.77,"50",34,0.42,"50",45,0.56,"50",48,0.59,"50",30,0.37,"50",420,5.19,"50",171,2.11,"50",1139,14.08,"50",47,0.58,"50",0,0,"50",74,0.91,"50",290,3.58,"50",239,2.95,"50",51,0.63,"50",9,0.11,"50",252,3.11,"50",248,3.07
"Hoteles Grupo 2","RESPONDENT4","Male","25","Default","Stimulus","VrboPage2",272801,100920,"",3030,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",1915,63.2,"50",0,0,"-50",0,0,"-50|50",1923,63.47,"50",0,0,"50",1,0.03,"50",0,0,"50",0,0,"50",0,0,"50",6,0.2,"50",0,0,"50",0,0,"50",0,0,"50",21,0.69,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",23,0.76,"50",0,0,"50",0,0,"50",21,0.69,"50",0,0
"Hoteles Grupo 2","RESPONDENT4","Female","24","Default","Stimulus","HotelesPage2",1036408,118302,"",3552,"50",0,0,"50",0,0,"50",0,0,"50",144,4.05,"50",0,0,"50",9,0.25,"50",0,0,"50",200,5.63,"50",2232,62.84,"50",190,5.35,"-50",0,0,"-50|50",2042,57.49,"50",23,0.65,"50",0,0,"50",0,0,"50",200,5.63,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",45,1.27,"50",19,0.53,"50",0,0,"50",68,1.91,"50",50,1.41,"50",35,0.99,"50",26,0.73,"50",23,0.65,"50",26,0.73,"50",217,6.11
"Hoteles Grupo 2","RESPONDENT4","Male","25","Default","Stimulus","HotelesPage2",383269,34746,"",1043,"50",4,0.38,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",23,2.21,"50",677,64.91,"50",0,0,"-50",0,0,"-50|50",677,64.91,"50",11,1.05,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",6,0.58,"50",0,0,"50",0,0,"50",0,0,"50",6,0.58,"50",44,4.22,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",8,0.77,"50",0,0,"50",14,1.34,"50",7,0.67,"50",41,3.93
"Hoteles Grupo 2","RESPONDENT4","Female","24","Default","Stimulus","AgodaPage2",1213194,111695,"",3355,"50",0,0,"50",3,0.09,"50",0,0,"50",65,1.94,"50",0,0,"50",18,0.54,"50",0,0,"50",117,3.49,"50",2095,62.44,"50",79,2.35,"-50",3,0.09,"-50|50",2013,60,"50",8,0.24,"50",0,0,"50",19,0.57,"50",84,2.5,"50",0,0,"50",2,0.06,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",142,4.23,"50",1,0.03,"50",0,0,"50",76,2.27,"50",0,0,"50",281,8.38,"50",89,2.65,"50",107,3.19,"50",13,0.39,"50",144,4.29
"Hoteles Grupo 2","RESPONDENT4","Male","25","Default","Stimulus","AgodaPage2",427235,43232,"",1298,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",16,1.23,"50",0,0,"50",0,0,"50",852,65.64,"50",0,0,"-50",0,0,"-50|50",852,65.64,"50",0,0,"50",18,1.39,"50",0,0,"50",0,0,"50",0,0,"50",12,0.92,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",0,0,"50",129,9.94,"50",0,0,"50",0,0,"50",0,0
