"Study Name","Respondent Name","Gender","Age","Group","Type","Label","Start (ms)","Duration (ms)","Signal Duration (ms)","Parent Stimulus","Has Peaks","Peak Count","Peaks Per Minute","Peak Detection Name"
"Hoteles Grupo 2","RESPONDENT4","Female",24,"Default","Stimulus","AgodaPage2",1213194,111696,111695,"",1,9,4.83,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Male",25,"Default","Stimulus","AgodaPage2",427236,43232,43232,"",1,6,8.33,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Female",24,"Default","Stimulus","VrboPage3",1383314,122648,122648,"",1,13,6.36,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Male",25,"Default","Stimulus","VrboPage3",479860,52104,52104,"",1,9,10.36,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Female",24,"Default","Stimulus","HotelesPage3",1565594,166325,166325,"",1,12,4.33,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Male",25,"Default","Stimulus","HotelesPage3",549539,78670,78670,"",1,11,8.39,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Female",24,"Default","Stimulus","AgodaPage3",1790376,178386,178385,"",1,15,5.05,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT4","Male",25,"Default","Stimulus","AgodaPage3",637280,65160,65159,"",1,5,4.6,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT5","Male",20,"Default","Stimulus","VrboPage",40919,243132,243132,"",1,13,3.21,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT5","Male",20,"Default","Scene","Mapping Vrbo",40919,54453,54453,"VrboPage",1,5,5.51,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT5","Male",20,"Default","Scene","Mapping 2",105777,31770,31770,"VrboPage",1,2,3.78,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT5","Male",20,"Default","Scene","Mapping Vrbo Resrva",230077,6200,6200,"VrboPage",0,0,0,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT5","Male",20,"Default","Stimulus","HotelesPage",687440,486160,486160,"",1,34,4.2,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT5","Male",20,"Default","Scene","Mapping Hoteles Inicio",687440,37866,37866,"HotelesPage",1,4,6.34,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT5","Male",20,"Default","Scene","Mapping Hoteles Buscador",727941,38420,38420,"HotelesPage",1,3,4.69,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT5","Male",20,"Default","Scene","Mapping Reserva",1138776,13843,13843,"HotelesPage",0,0,0,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT5","Male",20,"Default","Stimulus","AgodaPage",310075,358722,358721,"",1,16,2.68,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT5","Male",20,"Default","Scene","Mapping Inicio",313937,52629,52629,"AgodaPage",1,3,3.42,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT5","Male",20,"Default","Scene","Mapping Buscador",373630,14563,14563,"AgodaPage",0,0,0,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT5","Male",20,"Default","Scene","Mapping Agoda Reserva",457049,23060,23060,"AgodaPage",0,0,0,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT5","Male",20,"Default","Stimulus","VrboPage2",1213724,168441,168440,"",1,15,5.34,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT5","Male",20,"Default","Stimulus","HotelesPage2",1588933,147494,147494,"",1,18,7.32,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT5","Male",20,"Default","Stimulus","AgodaPage2",1405244,165927,165926,"",1,11,3.98,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT5","Male",20,"Default","Stimulus","VrboPage3",1771170,181999,181999,"",1,19,6.26,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT5","Male",20,"Default","Stimulus","HotelesPage3",2072342,126529,126529,"",1,12,5.69,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT5","Male",20,"Default","Stimulus","AgodaPage3",1969624,90464,90464,"",1,9,5.97,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT6","Male",24,"Default","Stimulus","VrboPage",500078,283271,283270,"",1,37,7.84,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT6","Male",24,"Default","Scene","Mapping Vrbo",500078,67158,67157,"VrboPage",1,7,6.25,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT6","Male",24,"Default","Scene","Mapping 2",574752,64894,64894,"VrboPage",1,8,7.4,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT6","Male",24,"Default","Stimulus","HotelesPage",815350,365877,180312,"",1,27,8.98,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT6","Male",24,"Default","Stimulus","AgodaPage",36534,437990,437990,"",1,68,9.32,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT6","Male",24,"Default","Stimulus","VrboPage2",1511808,510349,38512,"",1,6,9.35,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT6","Male",24,"Default","Stimulus","HotelesPage2",2047397,197089,16952,"",1,3,10.62,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT6","Male",24,"Default","Stimulus","VrboPage3",2482281,216117,3472,"",1,1,17.28,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT7","Female",54,"Default","Stimulus","VrboPage",456679,97204,97203,"",0,0,0,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT7","Female",54,"Default","Scene","Mapping Vrbo",456679,33247,33247,"VrboPage",0,0,0,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT7","Female",54,"Default","Scene","Mapping 2",493365,18966,18966,"VrboPage",0,0,0,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT7","Female",54,"Default","Scene","Mapping Vrbo Resrva",536677,6267,6267,"VrboPage",0,0,0,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT7","Female",54,"Default","Stimulus","HotelesPage",36953,137579,137579,"",1,5,2.18,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT7","Female",54,"Default","Stimulus","AgodaPage",195881,224431,224430,"",1,7,1.87,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT7","Female",54,"Default","Stimulus","VrboPage2",833223,50850,50850,"",1,5,5.9,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT7","Female",54,"Default","Stimulus","HotelesPage2",588781,88101,88101,"",1,1,0.68,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT7","Female",54,"Default","Stimulus","AgodaPage2",694418,128873,128872,"",1,3,1.4,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT7","Female",54,"Default","Stimulus","VrboPage3",1171068,134538,134538,"",1,11,4.91,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT7","Female",54,"Default","Stimulus","HotelesPage3",920068,125638,125637,"",1,10,4.78,"GSR Peaks (Shimmer)"
"Hoteles Grupo 2","RESPONDENT7","Female",54,"Default","Stimulus","AgodaPage3",1069861,90922,90922,"",1,4,2.64,"GSR Peaks (Shimmer)"
